Date,Time,Open,High,Low,Close,Volume,Pos_Rel_To_MA_20,Pos_Rel_To_MA_50,Pos_Rel_To_MA_100,Class_10_pips
2017.03.10,11:00,1.06169,1.06180,1.06129,1.06136,1092,ABOVE,ABOVE,ABOVE,RANGING
2017.03.10,12:00,1.06135,1.06153,1.06096,1.06114,1007,ABOVE,ABOVE,ABOVE,RANGING
2017.03.10,12:00,1.06118,1.06166,1.06105,1.06161,980,ABOVE,ABOVE,ABOVE,RANGING
2017.03.10,12:00,1.06161,1.06167,1.06100,1.06111,1082,ABOVE,ABOVE,ABOVE,RANGING
2017.03.10,12:00,1.06110,1.06138,1.06091,1.06103,1026,ABOVE,ABOVE,ABOVE,RANGING
2017.03.10,13:00,1.06104,1.06120,1.06063,1.06082,1092,ABOVE,ABOVE,ABOVE,RANGING
2017.03.10,13:00,1.06082,1.06114,1.06070,1.06080,848,ABOVE,ABOVE,ABOVE,RANGING
2017.03.10,13:00,1.06075,1.06085,1.06042,1.06084,955,ABOVE,ABOVE,ABOVE,RANGING
2017.03.10,13:00,1.06085,1.06121,1.06050,1.06073,1189,BELOW,ABOVE,ABOVE,RANGING
2017.03.10,14:00,1.06072,1.06125,1.06049,1.06103,880,ABOVE,ABOVE,ABOVE,RANGING
2017.03.10,14:00,1.06102,1.06152,1.06096,1.06113,1145,ABOVE,ABOVE,ABOVE,RANGING
2017.03.10,14:00,1.06116,1.06131,1.06052,1.06070,970,BELOW,ABOVE,ABOVE,RANGING
2017.03.10,14:00,1.06069,1.06086,1.06022,1.06031,1179,BELOW,ABOVE,ABOVE,RANGING
2017.03.10,15:00,1.06030,1.06070,1.06011,1.06066,1385,BELOW,ABOVE,ABOVE,RANGING
2017.03.10,15:00,1.06068,1.06079,1.06001,1.06012,2231,BELOW,ABOVE,ABOVE,+10pips
2017.03.10,15:00,1.06001,1.06367,1.05971,1.06328,4528,ABOVE,ABOVE,ABOVE,+10pips
2017.03.10,15:00,1.06327,1.06469,1.06293,1.06463,3028,ABOVE,ABOVE,ABOVE,RANGING
2017.03.10,16:00,1.06462,1.06518,1.06402,1.06405,2891,ABOVE,ABOVE,ABOVE,RANGING
2017.03.10,16:00,1.06404,1.06419,1.06308,1.06325,1889,ABOVE,ABOVE,ABOVE,RANGING
